Country	CountryCode	Region	OECD	GDPperCapita2012	GDP2012	GDPperCapitaPPP2011	GDPperCapitaPPPCurrent
Afghanistan	AFG	Asia:South		687.245475	20496777409	1892.260891	1925.343009
Albania	ALB	Europe:East		3999.92531	12648095824	9243.366781	9403.43246
Algeria	DZA	Africa:North		5347.704734	2.06E+11	12778.54773	13001.95319
American Samoa	ASM	Polynesia					
Andorra	ADO	Europe:South					
Angola	AGO	Africa:Center		5482.428049	1.14E+11	7345.681975	7474.105448
Antigua and Barbuda	ATG	Caribbean		12733.49043	1134159259	19714.16314	20058.82294
Argentina	ARG	America:South		11573.06497	4.76E+11		
Armenia	ARM	Europe:East		3351.381364	9950522733	7290.639071	7417.53736
Aruba	ABW	Caribbean					
Australia	AUS	Oceania	Y	67441.59339	1.53E+12	42278.29673	43818.30118
Austria	AUT	Europe:West	Y	46791.781	3.94E+11	43138.86602	44122.0257
Azerbaijan	AZE	Europe:East		7165.031956	66604589419	15888.21797	16165.98933
Bahamas, The	BHS	Caribbean		21908.28046	8149004000	22705.21922	23102.17122
Bahrain	BHR	MiddleEast		23039.68422	30362317939	40657.99967	41368.57542
Bangladesh	BGD	Asia:South		752.1560525	1.16E+11	2363.83324	2405.159788
Barbados	BRB	Caribbean		14917.14951	4224850000	15298.71552	15566.1807
Belarus	BLR	Europe:East		6685.018749	63267017440	16868.46657	17163.37548
Belgium	BEL	Europe:West	Y	43398.69051	4.83E+11	39497.54001	40565.59173
Belize	BLZ	America:Center				8438.059923	8585.581278
Benin	BEN	Africa:West		751.9163168	7557286829	1686.546635	1716.032281
Bermuda	BMU	Caribbean		84460.32775	5473536000	52112.20642	53023.27643
Bhutan	BTN	Asia:South		2398.905819	1779561112	7490.48421	7621.439239
Bolivia	BOL	America:South		2575.683695	27035110130	5650.43075	5749.216396
Bosnia and Herzegovina	BIH	Europe:East		4555.64457	17465958606	9183.519291	9392.474391
Botswana	BWA	Africa:South		7238.019365	14504339386	14443.38963	14695.90128
Brazil	BRA	America:South		11339.52111	2.25E+12	14300.58114	14550.59608
Brunei Darussalam	BRN	Asia:SE		41126.61284	16953952625	71080.2257	72322.91079
Bulgaria	BGR	Europe:East		6976.853444	50972109857	15738.34014	16040.81833
Burkina Faso	BFA	Africa:West		651.6532781	10726304841	1527.855909	1554.567188
Burundi	BDI	Africa:East		251.014523	2472384864	736.8432417	749.7253632
Cambodia	KHM	Asia:SE		944.4142464	14038383450	2789.078143	2837.839185
Cameroon	CMR	Africa:Center		1166.91341	25321590402	2550.925301	2595.522752
Canada	CAN	America:North	Y	51206.15559	1.78E+12	40588.04493	41297.63972
Cabo Verde	CPV	Africa:West		3695.424487	1827021562	6311.335425	6421.67557
Cayman Islands	CYM	Caribbean					
Central African Republic	CAF	Africa:Center		482.6697266	2184181391	963.9618815	980.8146847
Chad	TCD	Africa:Center		1035.257946	12887072082	2003.396014	2038.421091
Channel Islands	CHI	Europe:North					
Chile	CHL	America:South	Y	15452.1736	2.70E+11	21099.21379	21468.08804
China	CHN	Asia:East		6091.014352	8.23E+12	10771.18924	10959.50035
Hong Kong SAR, China	HKG	Asia:East		36795.81988	2.63E+11	50291.16258	51170.39555
Macao SAR, China	MAC	Asia:East		78275.14752	43582271462	126974.6857	129194.5654
Colombia	COL	America:South		7747.841321	3.70E+11	11687.24537	11891.57175
Comoros	COM	Africa:East		830.5196682	595900353.5	1493.236652	1519.342687
Congo, Dem. Rep.	ZAR	Africa:Center		261.836335	17203980743	451.127706	459.014705
Congo, Rep.	COG	Africa:Center		3153.739461	13677928884	5631.301518	5729.752731
Costa Rica	CRI	America:Center		9386.304835	45103963693	13091.09386	13319.96352
Cote d'Ivoire	CIV	Africa:West		1243.986075	24680372724	2747.004345	2795.029816
Croatia	HRV	Europe:East		13878.58455	59228247411	19946.21494	20960.67099
Cuba	CUB	Caribbean					
Curacao	CUW	Caribbean					
Cyprus	CYP	MiddleEast		26070.36743	22766912960	29697.78965	30768.33058
Czech Republic	CZE	Europe:East	Y	18689.96717	1.96E+11	26733.40526	27523.01124
Denmark	DNK	Europe:North	Y	56363.94482	3.15E+11	41524.33942	42775.20485
Djibouti	DJI	Africa:East					
Dominica	DMA	Caribbean		6691.714872	479688888.9	9628.924287	9797.265348
Dominican Republic	DOM	Caribbean		5745.779878	59047202158	11015.7278	11208.31414
Ecuador	ECU	America:South		5424.633611	84039856000	9900.075212	10073.15676
Egypt, Arab Rep.	EGY	Africa:North		3256.018469	2.63E+11	10685.04601	10871.85109
El Salvador	SLV	America:Center		3789.567558	23864400000	7445.296435	7575.461453
Equatorial Guinea	GNQ	Africa:Center		24035.70609	17697394251	37478.84624	38134.08338
Eritrea	ERI	Africa:East		504.3021912	3091837398	1179.775294	1200.401132
Estonia	EST	Europe:North	Y	16832.8005	22375858539	24194.65282	24449.65923
Ethiopia	ETH	Africa:East		454.7952305	41717843026	1218.32864	1239.628499
Faeroe Islands	FRO	Europe:North					
Fiji	FJI	Melanesia		4467.103791	3907563305	7552.2096	7684.243765
Finland	FIN	Europe:North	Y	45694.1147	2.47E+11	38103.75311	39198.82627
France	FRA	Europe:West	Y	39746.29293	2.61E+12	36073.6284	36784.78921
French Polynesia	PYF	Polynesia					
Gabon	GAB	Africa:Center		11256.52276	18377083881	17996.71552	18311.34944
Gambia, The	GMB	Africa:West		506.5979066	907430835.3	1564.965993	1592.326062
Georgia	GEO	Europe:East		3506.64458	15747288816	6690.880228	6807.855899
Germany	DEU	Europe:West	Y	42597.36708	3.43E+12	41966.41504	42700.10767
Ghana	GHA	Africa:West		1604.905782	40710781539	3638.472739	3702.083621
Greece	GRC	Europe:South	Y	22441.52132	2.49E+11	25391.35489	26040.76485
Greenland	GRL	Europe:North					
Grenada	GRD	Caribbean		7266.675457	766510727.2	11785.52594	11991.57055
Guam	GUM	Micronesia					
Guatemala	GTM	America:Center		3330.52523	50233749191	6989.51839	7111.715108
Guinea	GIN	Africa:West		491.7899781	5631621298	1216.049827	1237.309847
Guinea-Bissau	GNB	Africa:West		494.3146151	822321032.4	1163.546462	1183.888573
Guyana	GUY	America:South		3583.96217	2850572407	6053.658711	6159.493932
Haiti	HTI	Caribbean		770.9512406	7843484458	1574.506251	1602.033111
Honduras	HND	America:Center		2322.88056	18434022403	4422.541956	4499.860604
Hungary	HUN	Europe:East	Y	12560.07461	1.25E+11	22146.12767	22635.18089
Iceland	ISL	Europe:North	Y	42339.46285	13578943167	38553.29206	39096.53893
India	IND	Asia:South		1502.999958	1.86E+12	5050.107453	5138.397736
Indonesia	IDN	Asia:SE		3556.785714	8.78E+11	8856.201244	9011.032902
Iran, Islamic Rep.	IRN	MiddleEast		7228.018308	5.52E+11	15461.25482	15731.56166
Iraq	IRQ	MiddleEast		6625.223216	2.16E+11	14527.30949	14781.2883
Ireland	IRL	Europe:West	Y	45921.31638	2.11E+11	42918.60825	43833.8636
Isle of Man	IMY	Europe:North					
Israel	ISR	MiddleEast	Y	32567.08894	2.58E+11	30599.77073	31344.65234
Italy	ITA	Europe:South	Y	33815.66802	2.01E+12	33668.15843	34926.01736
Jamaica	JAM	Caribbean		5449.081869	14755051129	8421.419418	8568.64985
Japan	JPN	Asia:East	Y	46730.91845	5.96E+12	35006.22227	35618.23089
Jordan	JOR	MiddleEast		4909.028094	31015239496	11340.24387	11538.50368
Kazakhstan	KAZ	Asia:Center		12120.50855	2.04E+11	21505.65122	21881.63134
Kenya	KEN	Africa:East		942.5408848	40697163224	2108.927955	2145.798031
Kiribati	KIR	Micronesia		1736.198171	174984468.8	1771.525915	1802.49724
Korea, Dem. Rep.	PRK	Asia:East					
Korea, Rep.	KOR	Asia:East	Y	22589.95903	1.13E+12	29494.9102	30010.56536
Kosovo	KSV	Europe:East		3566.587671	6445201981	8291.223579	8436.177816
Kuwait	KWT	MiddleEast		56373.73085	1.83E+11	84187.7069	85659.54815
Kyrgyz Republic	KGZ	Asia:Center		1154.737445	6474843799	2846.528682	2896.294123
Lao PDR	LAO	Asia:SE		1417.079558	9417665586	4388.170192	4464.887923
Latvia	LVA	Europe:East		13946.96589	28372577697	21229.20424	21809.81896
Lebanon	LBN	MiddleEast		9705.392234	42945273632	16509.00694	16797.63147
Lesotho	LSO	Africa:South		1193.039051	2447573299	2367.966231	2409.365035
Liberia	LBR	Africa:West		413.7574149	1733823553	782.3872543	796.0656151
Libya	LBY	Africa:North					
Liechtenstein	LIE	Europe:West					
Lithuania	LTU	Europe:East		14172.26877	42343521966	23553.89215	24355.55861
Luxembourg	LUX	Europe:West	Y	103858.027	55143003983	86587.41663	89510.34122
Macedonia, FYR	MKD	Europe:East		4565.269884	9612518136	11707.98083	11834.4393
Madagascar	MDG	Africa:East		447.4371289	9975124872	1377.807516	1401.895522
Malawi	MWI	Africa:East		268.0539113	4263794984	738.9554008	751.8744489
Malaysia	MYS	Asia:SE		10432.06247	3.05E+11	21897.32081	22280.14843
Maldives	MDV	Asia:South		6566.647551	2222429330	11269.79981	11466.82805
Mali	MLI	Africa:West		699.3414362	10387718375	1606.930689	1635.02442
Malta	MLT	Europe:South		20838.88359	8740973918	28398.30593	28955.05327
Marshall Islands	MHL	Micronesia		3470.649795	182400000	3526.268294	3587.917522
Mauritania	MRT	Africa:West		1106.136947	4199051817	2938.148093	2989.515302
Mauritius	MUS	Africa:East		8119.546956	10486037634	16193.81046	16476.92445
Mexico	MEX	America:North	Y	9748.868686	1.18E+12	16143.78974	16426.02841
Micronesia, Fed. Sts.	FSM	Micronesia		3154.513862	326160960.8	3427.756719	3487.683683
Moldova	MDA	Europe:East		2037.570226	7252769934	4146.325006	4218.814594
