"","id","names","website"
"1","1607587549528691","루피",NA
"2","1441539196143731","집밥 백선생",NA
"3","373437866179108","백종원의 고급진 레시피",NA
"4","420453928126432","사보",NA
"5","397955415556","MongoDB","http://www.mongodb.com"
"6","871470146215610","Clash of Kings","https://play.google.com/store/apps/details?id=com.hcg.cok.gp"
"7","251853124952236","Big Data Professional Association","http://www.bpa.re.kr"
"8","1623150794580086","원피스저장소",NA
"9","443912935641352","R Tech Center","http://www.rtechcenter.com http://www.revolutionanalytics.com"
"10","142509399150607","R (programming language)",NA
"11","127156270693187","Node.js",NA
"12","112808602064165","JFreeChart","http://www.jfree.org/jfreechart/"
"13","176568119021613","G마켓","www.gmarket.co.kr"
"14","1478937582325732","잡플래닛 - Jobplanet","http://www.jobplanet.co.kr"
"15","566372450142991","Video Fenomenali",NA
"16","750126718347695","대정령","ssdnj23@facebook.com"
"17","141962659170409","SK텔레콤","www.sktelecom.com"
"18","271664429609329","LemonTree",NA
"19","319395004801121","롯데엔터테인먼트",NA
"20","115195635195628","Micimpact","www.micimpact.com "
"21","499442783415635","Love Secret Community",NA
"22","146119315469421","세계일보","www.segye.com"
"23","111803398967911","축제닷컴","http://www.chookje.com/"
"24","503272973032735","피나콜라다",NA
"25","147049908737087","돌핀브라우저","www.dolphin-browser.com/kr"
"26","438406036179643","CU","http://cu.bgfretail.com"
"27","443990932278851","Buddy Up","http://www.8cups.me"
"28","112534638809490","멋남,MUTNAM","http://www.mutnam.com http://twitter.com/mutnam_com http://blog.naver.com/mutnam21"
"29","232036916910651","코리아타임스 Education Abroad 국제전형","http://eap.koreatimes.co.kr"
"30","350477898353307","코스모스앱스","http://www.facebook.com/cosmosapps"
"31","350308955040569","씨네피플 (Cine People)",NA
"32","289168997826105","엔비룩","http://envylook.com"
"33","227849523977652","홋(Hott)","http://hott.kr"
"34","297970136946885","정오","http://noondate.com"
"35","271299809590330","Relikeable","http://socialtoy.co.kr"
"36","343804962328247","스타일닷컴","http://www.STYLE.co.kr"
"37","338238112901299","Gma개념원리수학","http://www.gmaedu.co.kr"
"38","111668955554282","삼성 (Samsung)","http://www.samsung.co.kr "
"39","109801612421261","카이이퀄",NA
"40","205725192850787","그냥 웃지요",NA
